kernel,C,A,gamma,mean_cindex,std,dataset
rbf,2.0,,0.125,0.6833110256973379,0.032087446552851805,whas500
rbf,2.0,,0.25,0.6663940164933891,0.025642364413045002,whas500
rbf,2.0,,0.5,0.612785186427546,0.03189654305351494,whas500
rbf,2.0,,1.0,0.5706769572447963,0.0323800983102628,whas500
rbf,2.0,,2.0,0.548121649347861,0.03290088116569486,whas500
rbf,2.0,,4.0,0.5411690281532275,0.03502046821085168,whas500
rbf,2.0,,8.0,0.5203716910015606,0.03077022227765725,whas500
rbf,4.0,,0.125,0.6866572978320412,0.018375855132515433,whas500
rbf,4.0,,0.25,0.6732397377687287,0.024221539562217464,whas500
rbf,4.0,,0.5,0.6096966711025117,0.04148234644459616,whas500
rbf,4.0,,1.0,0.5641736947534894,0.02447140769297161,whas500
rbf,4.0,,2.0,0.546414514084331,0.04550834100363529,whas500
rbf,4.0,,4.0,0.554667697808616,0.021092795675137152,whas500
rbf,4.0,,8.0,0.53505560758914,0.03349420076710831,whas500
exponential,0.25,,0.125,0.761245110259597,0.030501926283736807,whas500
exponential,0.25,,0.25,0.7464946499434961,0.029147998010462483,whas500
exponential,0.25,,0.5,0.7189454781564075,0.024915539004736403,whas500
exponential,0.25,,1.0,0.6752893628152399,0.022525078840491774,whas500
exponential,0.25,,2.0,0.5794945565562437,0.03049638819638515,whas500
exponential,0.25,,4.0,0.5631390222425664,0.03242758297837911,whas500
exponential,0.25,,8.0,0.5425883991355791,0.021977855414789745,whas500
exponential,0.5,,0.125,0.7508520178202645,0.016027940489952583,whas500
exponential,0.5,,0.25,0.7321688375221673,0.02542523936111316,whas500
exponential,0.5,,0.5,0.7357030227083531,0.019664333688734877,whas500
exponential,0.5,,1.0,0.6825190170759073,0.023379931654930977,whas500
exponential,0.5,,2.0,0.5751927670565034,0.02625718993063723,whas500
exponential,0.5,,4.0,0.5666705456332031,0.046973622827080896,whas500
exponential,0.5,,8.0,0.5362954851571514,0.03970498673041142,whas500
exponential,1.0,,0.125,0.7585885320121138,0.018604453204008317,whas500
exponential,1.0,,0.25,0.7392413589707557,0.033681356236379426,whas500
exponential,1.0,,0.5,0.7273238795882843,0.02926466202566411,whas500
exponential,1.0,,1.0,0.6524753762524031,0.022257362316840206,whas500
exponential,1.0,,2.0,0.6003974403255974,0.028247533749093823,whas500
exponential,1.0,,4.0,0.5528991338536456,0.027166771127778107,whas500
exponential,1.0,,8.0,0.542493889976777,0.029914298158342244,whas500
exponential,2.0,,0.125,0.7569672492909472,0.02184609332332907,whas500
exponential,2.0,,0.25,0.748675993904757,0.02424598122655837,whas500
exponential,2.0,,0.5,0.7122624118543144,0.023307523651421993,whas500
exponential,2.0,,1.0,0.6680873767814791,0.022743222625636286,whas500
exponential,2.0,,2.0,0.5710042244604588,0.025844060361100648,whas500
exponential,2.0,,4.0,0.5583232337512616,0.031632673701093086,whas500
exponential,2.0,,8.0,0.5543392860065908,0.019574503654680057,whas500
exponential,4.0,,0.125,0.7490031857829654,0.025866025169499495,whas500
exponential,4.0,,0.25,0.7407128527930528,0.03570195591988338,whas500
exponential,4.0,,0.5,0.7103293005100715,0.01800326001749508,whas500
exponential,4.0,,1.0,0.6666083485810606,0.03551497254758989,whas500
exponential,4.0,,2.0,0.5757684796054553,0.042194497935595376,whas500
exponential,4.0,,4.0,0.5874931009545278,0.02209782226782854,whas500
